Title,Company Name,Location,Posted,Type,Experience,Link
Cyber Readiness Senior Manager,Accenture Middle East,"Riyadh, Saudi Arabia ",10 hours ago,Full Time,,https://wuzzuf.net/saudi/jobs/p/g/uvdblm5ehfsa-cyber-readiness-senior-manager-accenture-middle-east-riyadh-saudi-arabia
"Salesforce/NetSuite Engineering Manager, Commercial Systems",Canonical,"Dubai, United Arab Emirates ",4 days ago,Full Time,,https://wuzzuf.net/jobs/p/g/ki6t2ofubtzg-salesforcenetsuite-engineering-manager-commercial-systems-canonical-dubai-united-arab-emirates
Multi-lingual Customer Success Manager,Global Payments Inc.,"Dubai, United Arab Emirates ",5 days ago,Full Time,,https://wuzzuf.net/jobs/p/g/07v21llljpjc-multi-lingual-customer-success-manager-global-payments-inc-dubai-united-arab-emirates
Healthcare Provider Solutions Product Manager (2023301),Nahdi Medical Co.,"Makkah, Saudi Arabia ",6 days ago,Full Time,,https://wuzzuf.net/saudi/jobs/p/g/w0d5feoyzobm-healthcare-provider-solutions-product-manager-2023301-nahdi-medical-co-makkah-saudi-arabia
"Senior Engineer, Carbon Management",ADNOC Group,"Dubai, United Arab Emirates ",4 days ago,Full Time,,https://wuzzuf.net/jobs/p/g/93tgrwjjasay-senior-engineer-carbon-management-adnoc-group-dubai-united-arab-emirates
"Associate, Key Account, KSA",Astellas Pharma,"Riyadh, Saudi Arabia ",4 days ago,Full Time,,https://wuzzuf.net/saudi/jobs/p/g/ttczueg3tgud-associate-key-account-ksa-astellas-pharma-riyadh-saudi-arabia
Senior Technical Program Manager - Riyadh,Newlab,"Riyadh, Saudi Arabia ",2 days ago,Full Time,,https://wuzzuf.net/saudi/jobs/p/g/cfinwk752zxa-senior-technical-program-manager-riyadh-newlab-riyadh-saudi-arabia
Education Program Manager (Efekta),EF Education First,"Riyadh, Saudi Arabia ",3 days ago,Full Time,,https://wuzzuf.net/saudi/jobs/p/g/recjm2elcxio-education-program-manager-efekta-ef-education-first-riyadh-saudi-arabia
Cloud Security Architect Microsoft Azure (m/f/d),Halian,"Riyadh, Saudi Arabia ",6 days ago,Full Time,,https://wuzzuf.net/saudi/jobs/p/g/is0exxdezrb4-cloud-security-architect-microsoft-azure-mfd-halian-riyadh-saudi-arabia
Lead E-commerce Designer (Remote),Jobgether,"Riyadh, Saudi Arabia ",6 days ago,Full Time,,https://wuzzuf.net/saudi/jobs/p/g/pyeblwfjcyj0-lead-e-commerce-designer-remote-jobgether-riyadh-saudi-arabia
Remote Sr. Partner Development Manager,Jobgether,"Riyadh, Saudi Arabia ",6 days ago,Full Time,,https://wuzzuf.net/saudi/jobs/p/g/csl3lszsqrlm-remote-sr-partner-development-manager-jobgether-riyadh-saudi-arabia
Remote Lead Manager Geomatics,Jobgether,"Riyadh, Saudi Arabia ",5 days ago,Full Time,,https://wuzzuf.net/saudi/jobs/p/g/wbhfmtwmrd4u-remote-lead-manager-geomatics-jobgether-riyadh-saudi-arabia
Product Manager II - Supply Chain & Inventory Management,Careem,"Dubai, United Arab Emirates ",2 days ago,Full Time,,https://wuzzuf.net/jobs/p/g/lykgu8s2teum-product-manager-ii-supply-chain-inventory-management-careem-dubai-united-arab-emirates
"Services - Summer Analyst, Dubai, 2026 (UAE Nationals ONLY)",Citi,"Dubai, United Arab Emirates ",2 days ago,Full Time,,https://wuzzuf.net/jobs/p/g/eyocansdfvod-services-summer-analyst-dubai-2026-uae-nationals-only-citi-dubai-united-arab-emirates
Mid-Corporate Sr Manager - VP (UAE Nationals Only) - Dubai,Citi,"Dubai, United Arab Emirates ",2 days ago,Full Time,,https://wuzzuf.net/jobs/p/g/0pvxgqzwnbsu-mid-corporate-sr-manager-vp-uae-nationals-only-dubai-citi-dubai-united-arab-emirates
Principal Process Design Engineer (Waste Treatment & Management),Worley,"Riyadh, Saudi Arabia ",3 days ago,Full Time,,https://wuzzuf.net/saudi/jobs/p/g/gda0344ujkhj-principal-process-design-engineer-waste-treatment-management-worley-riyadh-saudi-arabia
"Senior Specialist, Innovation Portfolio II",Ma'aden,"Riyadh, Saudi Arabia ",8 days ago,Full Time,,https://wuzzuf.net/saudi/jobs/p/g/kpgqhs8xoqk1-senior-specialist-innovation-portfolio-ii-maaden-riyadh-saudi-arabia
Procurement Support Senior Analyst - Managed Services,PwC Middle East,"Riyadh, Saudi Arabia ",2 days ago,Full Time,,https://wuzzuf.net/saudi/jobs/p/g/anfcpnndau3c-procurement-support-senior-analyst-managed-services-pwc-middle-east-riyadh-saudi-arabia
QC Engineer,Hunting,"Dubai, United Arab Emirates ",7 days ago,Full Time,,https://wuzzuf.net/jobs/p/g/d5uctpgjtw7v-qc-engineer-hunting-dubai-united-arab-emirates
Lead Planning Engineer,WSP in the Middle East,"Riyadh, Saudi Arabia ",5 days ago,Full Time,,https://wuzzuf.net/saudi/jobs/p/g/hiqxjtj7mkuo-lead-planning-engineer-wsp-in-the-middle-east-riyadh-saudi-arabia
Senior Client Manager,"NTT DATA, Inc.","Riyadh, Saudi Arabia ",5 days ago,Full Time,,https://wuzzuf.net/saudi/jobs/p/g/v06xqekmsfal-senior-client-manager-ntt-data-inc-riyadh-saudi-arabia
Multi-Lingual Partner Customer Success Manager [English/Spanish/French/German],Global Payments Inc.,"Dubai, United Arab Emirates ",5 days ago,Full Time,,https://wuzzuf.net/jobs/p/g/ujhke8infrvb-multi-lingual-partner-customer-success-manager-englishspanishfrenchgerman-global-payments-inc-dubai-united-arab-emirates
Lead Member Experience & Engagement,Etihad,"Dubai, United Arab Emirates ",5 days ago,Full Time,,https://wuzzuf.net/jobs/p/g/jhg8ciw7io5t-lead-member-experience-engagement-etihad-dubai-united-arab-emirates
Professional Services Consultant,HERE Technologies,"Riyadh, Saudi Arabia ",5 days ago,Full Time,,https://wuzzuf.net/saudi/jobs/p/g/bmmwngd12uib-professional-services-consultant-here-technologies-riyadh-saudi-arabia
Purchase Specialist - Pharmaceutical,Confidential,"New Cairo, Cairo, Egypt ",2 months ago,Full Time,1 - 3 Yrs of Exp,https://wuzzuf.net/jobs/p/jqscpyvwo7ba-purchase-specialist-pharmaceutical-cairo-egypt
Technical Support Engineer,Emdad Al Khebrat,"Riyadh, Saudi Arabia ",7 days ago,Full Time,,https://wuzzuf.net/saudi/jobs/p/g/sscfhokneyw8-technical-support-engineer-emdad-al-khebrat-riyadh-saudi-arabia
Senior Technical HSE Engineer,Energy Job Search,"Dubai, United Arab Emirates ",2 days ago,Full Time,,https://wuzzuf.net/jobs/p/g/qsp678tub5xo-senior-technical-hse-engineer-energy-job-search-dubai-united-arab-emirates
Senior Information Security GRC Specialist,"NTT DATA, Inc.","Riyadh, Saudi Arabia ",6 days ago,Full Time,,https://wuzzuf.net/saudi/jobs/p/g/ifwsdpkwg5jo-senior-information-security-grc-specialist-ntt-data-inc-riyadh-saudi-arabia
"Senior Manager, Risk & Governance",myZoi |  Financial Inclusion Technologies,"Dubai, United Arab Emirates ",3 days ago,Full Time,,https://wuzzuf.net/jobs/p/g/w9vpyifgu4lt-senior-manager-risk-governance-myzoi-financial-inclusion-technologies-dubai-united-arab-emirates
Senior Reward Manager,Commercial Bank of Dubai,"Dubai, United Arab Emirates ",6 days ago,Full Time,,https://wuzzuf.net/jobs/p/g/aig7hxdps4je-senior-reward-manager-commercial-bank-of-dubai-dubai-united-arab-emirates
Business Development Manager,BSI,"Dubai, United Arab Emirates ",6 days ago,Full Time,,https://wuzzuf.net/jobs/p/g/99aey39gojz1-business-development-manager-bsi-dubai-united-arab-emirates
Engineering Manager - Wallets (100% Remote),Tether.to,"Dubai, United Arab Emirates ",4 days ago,Full Time,,https://wuzzuf.net/jobs/p/g/peuscfuahmvn-engineering-manager-wallets-100-remote-tether-to-dubai-united-arab-emirates
"Project Specialist, dnata Global Airport Operations",Energy Job Search,"Dubai, United Arab Emirates ",4 days ago,Full Time,,https://wuzzuf.net/jobs/p/g/7fagk70i7jz2-project-specialist-dnata-global-airport-operations-energy-job-search-dubai-united-arab-emirates
IT Helpdesk Engineer,Tamara,"Riyadh, Saudi Arabia ",6 days ago,Full Time,,https://wuzzuf.net/saudi/jobs/p/g/tzcqqnw5jicp-it-helpdesk-engineer-tamara-riyadh-saudi-arabia
Software Architect - Containers / Virtualisation,Canonical,"Makkah, Saudi Arabia ",5 days ago,Full Time,,https://wuzzuf.net/saudi/jobs/p/g/mnjqttcm4dwp-software-architect-containers-virtualisation-canonical-makkah-saudi-arabia
Senior Planning Engineer,WSP in the Middle East,"Riyadh, Saudi Arabia ",8 days ago,Full Time,,https://wuzzuf.net/saudi/jobs/p/g/nqrjdc0citah-senior-planning-engineer-wsp-in-the-middle-east-riyadh-saudi-arabia
